"Specimen.number"	"Plant.ID"	"Damage"	"area_leaf"	"hole_dam"	"margin_dam"	"skele_dam"	"surf_dam"	"ps_dam"	"ovi_dam"	"mine_dam"	"gall_dam"	"fungal_dam"	"bug_area_dam"	"fung_bug_comb_area_dam"	"fung_bug_perc_area_dam"	"bug_perc_area_dam"	"perc_area_dam"	"perc_fung_dam"	"LMA"	"LVD"
"142"	"7040"	"Dicot sp.WR007"	"32(5)"	23.54	0.24	0	0	0	0	0	0	0	0	0	0	0	0	1.01954120645709	0	94.16	0
"143"	"7041"	"Juglandaceae sp.WR035"	"5, 12(3), 40, 63"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"144"	"7045"	"Platanites raynoldsii"	"13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.68	0
"145"	"7049"	"Dicot sp.WR031"	"8(2), 10(4), F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.071
"146"	"7051"	"Apeiba improvisa"	"2(2), F"	45.55	0.054	0	0	0	0	0	0	0	5.173	0	0	0	0	0.118551042810099	0.00113567508232711	71.49	0
"147"	"7914"	"Apeiba improvisa"	"2, 12, 13, 14"	81.6	0.005	16.96	0	0	0	0	0	0	0	0	0	0	0	20.7904411764706	0	71.49	0
"148"	"7915"	"Dicot sp.WR029"	"2(2), 12, 31(50), 57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"149"	"7916"	"Dicot sp.WR029"	"2, 12, F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"150"	"7917"	"Dicot sp.WR029"	"FB"	47.61	0	0	0	0	0	0	0	0	2.53	0	0	0	0	0	0.000531400966183575	0	5.547
"151"	"7918"	"Dicot sp.WR028"	"12, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.44	5.152
"152"	"7920"	"Apeiba improvisa"	"3, 5, 57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"153"	"7921"	"Dicot sp.WR028"	"2(2), 64"	40.1	0.209	0	0	0	0	0	0	0	0	0	0	0	0	0.521197007481297	0	77.44	8.981
"154"	"7925"	"Apeiba improvisa"	"1(2), 2(3), 5(2)"	59.4	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0.69023569023569	0	71.49	7.772
"155"	"7926"	"Dicot sp.WR029"	"12(3), 31(20)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.001
"156"	"7927"	"Apeiba improvisa"	"2(3), 12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"157"	"7928"	"Dicot sp.WR029"	"2, 12(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"158"	"7929"	"Dicot sp.WR007"	"57, F"	46.72	0.101	0	0	0	0	0	0	0	2.61	0	0	0	0	0.216181506849315	0.000558647260273973	94.16	0
"159"	"7930"	"Dicot sp.WR029"	"3, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.738
"160"	"7934"	"Dombeya novi-mundi"	"2, 34, 57, 83(4)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"161"	"7934"	"Dombeya novi-mundi"	"32(3), F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"162"	"7937.1"	"Macginitiea gracilis"	"1(2), 2(3), 5, 17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.57	0
"163"	"7939"	"Dicot sp.WR029"	"34, F"	54.02	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0.0203628285820067	0	0	5.988
"164"	"7943"	"Dicot sp.WR028"	"1(4), 3(2), 12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.44	4.592
"165"	"7944"	"Dicot sp.WR033"	"12(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"166"	"7946"	"Dicot sp.WR033"	"12(2), 29, 143(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"167"	"7948"	"Symplocos incondita"	"2(5), 13"	20.3	0.05	0.585	0	0	0	0	0	0	0	0	0	0	0	3.12807881773399	0	119.37	0
"168"	"7949"	"Symplocos incondita"	"83, 126"	12.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.37	0
"169"	"7955"	"Symplocos incondita"	"12, 14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.37	0
"170"	"7955"	"Symplocos incondita"	"13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.37	0
"171"	"7956"	"Symplocos incondita"	"16"	10.99	0	0	0.059	0	0	0	0	0	0	0	0	0	0	0.536851683348499	0	119.37	0
